question,uid,hit
What are the key findings in this chest X-ray report?,1,False
What abnormality is present according to the report?,1,False
Is the heart size normal?,1,False
What are the key findings in this chest X-ray report?,2,False
What abnormality is present according to the report?,2,False
Is there any cardiomegaly?,2,False
What are the key findings in this chest X-ray report?,3,False
What abnormality is present according to the report?,3,False
Is the heart size normal?,3,False
What are the key findings in this chest X-ray report?,4,False
What abnormality is present according to the report?,4,False
Is there any opacity?,4,False
What are the key findings in this chest X-ray report?,5,False
What abnormality is present according to the report?,5,False
What are the key findings in this chest X-ray report?,6,False
What abnormality is present according to the report?,6,False
Is the heart size normal?,6,False
What are the key findings in this chest X-ray report?,7,False
What abnormality is present according to the report?,7,False
Is there any atelectasis?,7,False
What are the key findings in this chest X-ray report?,8,False
What abnormality is present according to the report?,8,False
Is the heart size normal?,8,False
What are the key findings in this chest X-ray report?,9,False
What abnormality is present according to the report?,9,False
What are the key findings in this chest X-ray report?,10,False
What abnormality is present according to the report?,10,False
What are the key findings in this chest X-ray report?,11,False
What abnormality is present according to the report?,11,False
Is the heart size normal?,11,False
What are the key findings in this chest X-ray report?,12,False
What abnormality is present according to the report?,12,False
Is the heart size normal?,12,False
What are the key findings in this chest X-ray report?,13,False
What abnormality is present according to the report?,13,False
What are the key findings in this chest X-ray report?,14,False
What abnormality is present according to the report?,14,False
What are the key findings in this chest X-ray report?,15,False
What abnormality is present according to the report?,15,False
What are the key findings in this chest X-ray report?,17,False
What abnormality is present according to the report?,17,False
Is the heart size normal?,17,False
What are the key findings in this chest X-ray report?,18,False
What abnormality is present according to the report?,18,False
Is there any effusion?,18,False
What are the key findings in this chest X-ray report?,19,False
What abnormality is present according to the report?,19,False
What are the key findings in this chest X-ray report?,20,False
What abnormality is present according to the report?,20,False
Is the heart size normal?,20,False
What are the key findings in this chest X-ray report?,21,False
What abnormality is present according to the report?,21,False
What are the key findings in this chest X-ray report?,22,False
What abnormality is present according to the report?,22,False
Is the heart size normal?,22,False
What are the key findings in this chest X-ray report?,23,False
What abnormality is present according to the report?,23,False
Is the heart size normal?,23,False
What are the key findings in this chest X-ray report?,24,False
What abnormality is present according to the report?,24,False
Is the heart size normal?,24,False
What are the key findings in this chest X-ray report?,25,False
What abnormality is present according to the report?,25,False
Is there any effusion?,25,False
What are the key findings in this chest X-ray report?,26,False
What abnormality is present according to the report?,26,False
What are the key findings in this chest X-ray report?,27,False
What abnormality is present according to the report?,27,False
What are the key findings in this chest X-ray report?,28,False
What abnormality is present according to the report?,28,False
Is there any opacity?,28,False
Is there any atelectasis?,28,False
What are the key findings in this chest X-ray report?,29,False
What abnormality is present according to the report?,29,False
Is there any cardiomegaly?,29,False
What are the key findings in this chest X-ray report?,30,False
What abnormality is present according to the report?,30,False
Is the heart size normal?,30,False
What are the key findings in this chest X-ray report?,31,False
What abnormality is present according to the report?,31,False
What are the key findings in this chest X-ray report?,32,False
What abnormality is present according to the report?,32,False
What are the key findings in this chest X-ray report?,33,False
What abnormality is present according to the report?,33,False
What are the key findings in this chest X-ray report?,34,False
What abnormality is present according to the report?,34,False
Is the heart size normal?,34,False
What are the key findings in this chest X-ray report?,35,False
What abnormality is present according to the report?,35,False
What are the key findings in this chest X-ray report?,36,False
What abnormality is present according to the report?,36,False
Is the heart size normal?,36,False
What are the key findings in this chest X-ray report?,37,False
What abnormality is present according to the report?,37,False
Is there any opacity?,37,False
What are the key findings in this chest X-ray report?,38,False
What abnormality is present according to the report?,38,False
Is the heart size normal?,38,False
What are the key findings in this chest X-ray report?,39,False
What abnormality is present according to the report?,39,False
What are the key findings in this chest X-ray report?,40,False
What abnormality is present according to the report?,40,False
What are the key findings in this chest X-ray report?,41,False
What abnormality is present according to the report?,41,False
Is there any opacity?,41,False
What are the key findings in this chest X-ray report?,42,False
What abnormality is present according to the report?,42,False
Is the heart size normal?,42,False
What are the key findings in this chest X-ray report?,43,False
What abnormality is present according to the report?,43,False
What are the key findings in this chest X-ray report?,44,False
What abnormality is present according to the report?,44,False
Is the heart size normal?,44,False
What are the key findings in this chest X-ray report?,45,False
What abnormality is present according to the report?,45,False
Is there any cardiomegaly?,45,False
What are the key findings in this chest X-ray report?,46,False
What abnormality is present according to the report?,46,False
Is the heart size normal?,46,False
What are the key findings in this chest X-ray report?,47,False
What abnormality is present according to the report?,47,False
What are the key findings in this chest X-ray report?,48,False
What abnormality is present according to the report?,48,False
What are the key findings in this chest X-ray report?,49,False
What abnormality is present according to the report?,49,False
What are the key findings in this chest X-ray report?,50,False
What abnormality is present according to the report?,50,False
Is there any cardiomegaly?,50,False
What are the key findings in this chest X-ray report?,51,False
What abnormality is present according to the report?,51,False
What are the key findings in this chest X-ray report?,52,False
What abnormality is present according to the report?,52,False
Is the heart size normal?,52,False
What are the key findings in this chest X-ray report?,53,False
What abnormality is present according to the report?,53,False
Is there any opacity?,53,False
Is there any atelectasis?,53,False
What are the key findings in this chest X-ray report?,54,False
What abnormality is present according to the report?,54,False
