question,uid,topical_hit
What are the key findings in this chest X-ray report?,1,True
What abnormality is present according to the report?,1,True
Is the heart size normal?,1,True
What are the key findings in this chest X-ray report?,2,True
What abnormality is present according to the report?,2,True
Is there any cardiomegaly?,2,True
What are the key findings in this chest X-ray report?,3,True
What abnormality is present according to the report?,3,True
Is the heart size normal?,3,True
What are the key findings in this chest X-ray report?,4,True
What abnormality is present according to the report?,4,True
Is there any opacity?,4,True
What are the key findings in this chest X-ray report?,5,True
What abnormality is present according to the report?,5,True
What are the key findings in this chest X-ray report?,6,True
What abnormality is present according to the report?,6,True
Is the heart size normal?,6,True
What are the key findings in this chest X-ray report?,7,True
What abnormality is present according to the report?,7,True
Is there any atelectasis?,7,True
What are the key findings in this chest X-ray report?,8,True
What abnormality is present according to the report?,8,True
Is the heart size normal?,8,True
What are the key findings in this chest X-ray report?,9,True
What abnormality is present according to the report?,9,True
What are the key findings in this chest X-ray report?,10,True
What abnormality is present according to the report?,10,True
What are the key findings in this chest X-ray report?,11,True
What abnormality is present according to the report?,11,True
Is the heart size normal?,11,True
What are the key findings in this chest X-ray report?,12,True
What abnormality is present according to the report?,12,True
Is the heart size normal?,12,True
What are the key findings in this chest X-ray report?,13,True
What abnormality is present according to the report?,13,True
What are the key findings in this chest X-ray report?,14,True
What abnormality is present according to the report?,14,True
What are the key findings in this chest X-ray report?,15,True
What abnormality is present according to the report?,15,True
What are the key findings in this chest X-ray report?,17,True
What abnormality is present according to the report?,17,True
Is the heart size normal?,17,True
What are the key findings in this chest X-ray report?,18,True
What abnormality is present according to the report?,18,True
Is there any effusion?,18,True
What are the key findings in this chest X-ray report?,19,True
What abnormality is present according to the report?,19,True
What are the key findings in this chest X-ray report?,20,True
What abnormality is present according to the report?,20,True
Is the heart size normal?,20,True
What are the key findings in this chest X-ray report?,21,True
What abnormality is present according to the report?,21,True
What are the key findings in this chest X-ray report?,22,True
What abnormality is present according to the report?,22,True
Is the heart size normal?,22,True
What are the key findings in this chest X-ray report?,23,True
What abnormality is present according to the report?,23,True
Is the heart size normal?,23,True
What are the key findings in this chest X-ray report?,24,True
What abnormality is present according to the report?,24,True
Is the heart size normal?,24,True
What are the key findings in this chest X-ray report?,25,True
What abnormality is present according to the report?,25,True
Is there any effusion?,25,True
What are the key findings in this chest X-ray report?,26,True
What abnormality is present according to the report?,26,True
What are the key findings in this chest X-ray report?,27,True
What abnormality is present according to the report?,27,True
What are the key findings in this chest X-ray report?,28,True
What abnormality is present according to the report?,28,True
Is there any opacity?,28,True
Is there any atelectasis?,28,True
What are the key findings in this chest X-ray report?,29,True
What abnormality is present according to the report?,29,True
Is there any cardiomegaly?,29,True
What are the key findings in this chest X-ray report?,30,True
