,precision,precision,recall,recall,f1,f1,bleu,bleu
,mean,count,mean,count,mean,count,mean,count
question,,,,,,,,
Is the heart size normal?,1.0,1354,0.0909090909090909,1354,0.1666666666666666,1354,0.0,1354
Is there any atelectasis?,0.1746031746031746,315,0.07400315824994771,315,0.09101188689866098,315,0.014685281791128747,315
Is there any cardiomegaly?,0.23333333333333334,345,0.08442508044121269,345,0.11171108120269214,345,0.013734396135522258,345
Is there any edema?,0.11904761904761904,42,0.007624340629266734,42,0.01386626556118081,42,0.0,42
Is there any effusion?,0.1895424836601307,153,0.010966258725891909,153,0.020043074112806605,153,0.0001095881468768611,153
Is there any opacity?,0.33101851851851855,432,0.031093690326390883,432,0.05357651131551132,432,0.0,432
Is there any pneumothorax?,0.3269230769230769,26,0.08309742189172271,26,0.11853271660762597,26,0.013086878373530246,26
What abnormality is present according to the report?,0.5322791427077889,3826,0.1550485019442666,3826,0.23073540862218198,3826,0.003946300292108757,3826
What are the key findings in this chest X-ray report?,0.0070569785676947204,3826,0.00016315053381979488,3826,0.0003177997679605457,3826,0.0,3826
